timestamps,TP9,AF7,AF8,TP10
1660571259.606,-724.609,-824.707,496.582,-499.023
1660571259.610,564.453,515.137,529.785,-521.484
1660571259.614,-833.008,-812.500,525.879,-468.750
1660571259.618,230.957,214.844,406.250,-423.340
1660571259.622,-1000.000,-1000.000,344.238,-597.168
1660571259.626,-826.172,-795.898,463.379,-575.195
1660571259.629,477.051,556.641,541.992,-420.410
1660571259.633,-820.312,-808.105,628.418,-114.258
1660571259.637,333.496,230.957,538.086,-89.844
1660571259.641,-956.055,-968.750,532.227,-287.109
1660571259.645,-1000.000,-1000.000,615.723,-300.293
1660571259.602,-1000.000,-1000.000,363.770,-523.926
1660571259.606,-724.609,-824.707,496.582,-499.023
1660571259.610,564.453,515.137,529.785,-521.484
1660571259.614,-833.008,-812.500,525.879,-468.750
1660571259.618,230.957,214.844,406.250,-423.340
1660571259.622,-1000.000,-1000.000,344.238,-597.168
1660571259.626,-826.172,-795.898,463.379,-575.195
1660571259.629,477.051,556.641,541.992,-420.410
1660571259.633,-820.312,-808.105,628.418,-114.258
1660571259.637,333.496,230.957,538.086,-89.844
1660571259.641,-956.055,-968.750,532.227,-287.109
1660571259.645,-1000.000,-1000.000,615.723,-300.293
1660571259.602,-1000.000,-1000.000,363.770,-523.926
1660571259.606,-724.609,-824.707,496.582,-499.023
1660571259.610,564.453,515.137,529.785,-521.484
1660571259.614,-833.008,-812.500,525.879,-468.750
1660571259.618,230.957,214.844,406.250,-423.340
1660571259.622,-1000.000,-1000.000,344.238,-597.168
1660571259.626,-826.172,-795.898,463.379,-575.195
1660571259.629,477.051,556.641,541.992,-420.410
1660571259.633,-820.312,-808.105,628.418,-114.258
1660571259.637,333.496,230.957,538.086,-89.844
1660571259.641,-956.055,-968.750,532.227,-287.109
1660571259.645,-1000.000,-1000.000,615.723,-300.293
1660571259.647,108.887,-114.258,517.090,-229.492
1660571259.651,-901.367,-939.453,555.176,-102.051
1660571259.655,786.133,934.570,724.609,-3.906
1660571259.659,-498.535,-324.219,860.352,-212.891
1660571259.663,-1000.000,-1000.000,886.230,-465.820
1660571259.667,-3.906,-106.445,838.379,-363.770
1660571259.671,-865.234,-807.129,793.945,-249.023
1660571259.674,664.551,363.281,802.734,-274.902
1660571259.678,-637.695,-937.012,751.953,-395.020
1660571259.682,-1000.000,-1000.000,528.320,-550.781
1660571259.686,-148.926,-231.934,561.523,-456.055
1660571259.690,-948.730,-954.590,597.656,-275.879
1660571259.647,108.887,-114.258,517.090,-229.492
1660571259.651,-901.367,-939.453,555.176,-102.051
1660571259.655,786.133,934.570,724.609,-3.906
1660571259.659,-498.535,-324.219,860.352,-212.891
1660571259.663,-1000.000,-1000.000,886.230,-465.820
